Date,SOFR,,,,
8/15/18,1.98,,,,
8/16/18,1.99,,,,
8/17/18,1.9,,,,
8/20/18,1.9,,,,
8/21/18,1.9,,,,
8/22/18,1.9,,,,
8/23/18,1.94,,,,
8/24/18,1.95,,,,
8/27/18,1.95,,,,
8/28/18,1.95,,,,
8/29/18,1.93,,,,
8/30/18,1.93,,,,
8/31/18,1.97,,,,
9/3/18,.,,,,
9/4/18,1.95,,,,
9/5/18,1.95,,,,
9/6/18,1.94,,,,
9/7/18,1.94,,,,
9/10/18,1.94,,,,
9/11/18,1.94,,,,
9/12/18,1.94,,,,
9/13/18,1.94,,,,
9/14/18,1.95,,,,
9/17/18,2,,,,
9/18/18,1.94,,,,
9/19/18,1.92,,,,
9/20/18,1.92,,,,
9/21/18,1.92,,,,
9/24/18,1.95,,,,
9/25/18,1.93,,,,
9/26/18,1.92,,,,
9/27/18,2.16,,,,
9/28/18,2.25,,,,
10/1/18,2.22,,,,
10/2/18,2.2,,,,
10/3/18,2.2,,,,
10/4/18,2.18,,,,
10/5/18,2.16,,,,
10/8/18,.,,,,
10/9/18,2.15,,,,
10/10/18,2.15,,,,
10/11/18,2.17,,,,
10/12/18,2.18,,,,
10/15/18,2.21,,,,
10/16/18,2.18,,,,
10/17/18,2.18,,,,
10/18/18,2.19,,,,
10/19/18,2.19,,,,
10/22/18,2.18,,,,
10/23/18,2.17,,,,
10/24/18,2.18,,,,
10/25/18,2.19,,,,
10/26/18,2.19,,,,
10/29/18,2.18,,,,
10/30/18,2.18,,,,
10/31/18,2.22,,,,
11/1/18,2.22,,,,
11/2/18,2.25,,,,
11/5/18,2.24,,,,
11/6/18,2.22,,,,
11/7/18,2.18,,,,
11/8/18,2.21,,,,
11/9/18,2.2,,,,
11/12/18,.,,,,
11/13/18,2.2,,,,
11/14/18,2.2,,,,
11/15/18,2.28,,,,
11/16/18,2.26,,,,
11/19/18,2.24,,,,
11/20/18,2.2,,,,
11/21/18,2.18,,,,
11/22/18,.,,,,
11/23/18,2.23,,,,
11/26/18,2.2,,,,
11/27/18,2.19,,,,
11/28/18,2.19,,,,
11/29/18,2.24,,,,
11/30/18,2.28,,,,
12/3/18,2.23,,,,
12/4/18,2.27,,,,
12/5/18,.,,,,
12/6/18,2.34,,,,
12/7/18,2.3,,,,
12/10/18,2.22,,,,
12/11/18,2.19,,,,
12/12/18,2.2,,,,
12/13/18,2.21,,,,
12/14/18,2.21,,,,
12/17/18,2.31,,,,
12/18/18,2.32,,,,
12/19/18,2.3,,,,
12/20/18,2.41,,,,
12/21/18,2.4,,,,
12/24/18,2.41,,,,
12/25/18,.,,,,
12/26/18,2.44,,,,
12/27/18,2.44,,,,
12/28/18,2.46,,,,
12/31/18,3,,,,
1/1/19,.,,,,
1/2/19,3.15,,,,
1/3/19,2.7,,,,
1/4/19,2.45,,,,
1/7/19,2.41,,,,
1/8/19,2.42,,,,
1/9/19,2.45,,,,
1/10/19,2.43,,,,
1/11/19,2.41,,,,
1/14/19,2.4,,,,
1/15/19,2.46,,,,
1/16/19,2.43,,,,
1/17/19,2.41,,,,
1/18/19,2.42,,,,
1/21/19,.,,,,
1/22/19,2.41,,,,
1/23/19,2.4,,,,
1/24/19,2.41,,,,
1/25/19,2.4,,,,
1/28/19,2.39,,,,
1/29/19,2.4,,,,
1/30/19,2.39,,,,
1/31/19,2.58,,,,
2/1/19,2.47,,,,
2/4/19,2.4,,,,
2/5/19,2.4,,,,
2/6/19,2.38,,,,
2/7/19,2.38,,,,
2/8/19,2.37,,,,
2/11/19,2.4,,,,
2/12/19,2.39,,,,
