"","Date","SOFR","US.Policy","D.Include","SOFRV","bills","non_bills","debt","Spread"
"173",2015-05-05,0.1,0.25,1,6.43615036836943,27.9908061228638,29.9296918296666,30.064103980749,-0.15
"174",2015-05-06,0.08,0.25,1,6.44888939414686,27.9908061228638,29.9296918296666,30.064103980749,-0.17
"175",2015-05-07,0.07,0.25,1,6.39359075395063,27.9852103574271,29.9296918296666,30.0634019185566,-0.18
"176",2015-05-08,0.07,0.25,1,6.42648845745769,27.9852103574271,29.9296918296666,30.0634019185566,-0.18
"177",2015-05-11,0.08,0.25,1,6.4118182677099,27.9852103574271,29.9296918296666,30.0634019185566,-0.17
"178",2015-05-12,0.09,0.25,1,6.4118182677099,27.9852103574271,29.9296918296666,30.0634019185566,-0.16
"179",2015-05-13,0.1,0.25,1,6.42648845745769,27.9852103574271,29.9296918296666,30.0634019185566,-0.15
"180",2015-05-14,0.1,0.25,1,6.44571981938558,27.9880135510416,29.9296918296666,30.0637531865151,-0.15
"181",2015-05-15,0.11,0.25,1,6.47697236288968,27.9880135510416,29.9293881182532,30.0634875848886,-0.14
"182",2015-05-18,0.07,0.25,1,6.42971947803914,27.9880135510416,29.9293881182532,30.0634875848886,-0.18
"183",2015-05-19,0.05,0.25,1,6.40357419793482,27.9880135510416,29.9293881182532,30.0634875848886,-0.2
"184",2015-05-20,0.05,0.25,1,6.35957386867238,27.9880135510416,29.9293881182532,30.0634875848886,-0.2
"185",2015-05-21,0.06,0.25,1,6.43133108193348,27.9942906142471,29.9293881182532,30.0642775025092,-0.19
"186",2015-05-22,0.08,0.25,1,6.3919171133926,27.9942906142471,29.9293881182532,30.0642775025092,-0.17
"187",2015-05-26,0.08,0.25,1,6.41836493593621,27.9942906142471,29.9293881182532,30.0642775025092,-0.17
"188",2015-05-27,0.06,0.25,1,6.39692965521615,27.9942906142471,29.9293881182532,30.0642775025092,-0.19
"189",2015-05-28,0.07,0.25,0,6.41836493593621,28.0005306527201,29.9293881182532,30.0650670670442,-0.18
"190",2015-05-29,0.13,0.25,0,6.36990098282823,28.0005306527201,29.9293881182532,30.0650670670442,-0.12
"191",2015-06-01,0.13,0.25,0,6.42971947803914,28.0005306527201,29.9308061691575,30.0663053111107,-0.12
"192",2015-06-02,0.12,0.25,1,6.39024066706535,28.0005306527201,29.9308061691575,30.0663053111107,-0.13
"193",2015-06-03,0.13,0.25,1,6.4150969591716,28.0210509326066,29.9308061691575,30.0689290609338,-0.12
"194",2015-06-04,0.11,0.25,1,6.4150969591716,28.0217255660201,29.9308061691575,30.0690161198538,-0.14
"195",2015-06-05,0.1,0.25,1,6.41017488196617,28.0217255660201,29.9308061691575,30.0690161198538,-0.15
"196",2015-06-08,0.1,0.25,1,6.4281052726846,28.0217255660201,29.9308061691575,30.0690161198538,-0.15
"197",2015-06-09,0.09,0.25,1,6.39526159811545,28.0217255660201,29.9308061691575,30.0690161198538,-0.16
"198",2015-06-10,0.09,0.25,1,6.36647044773144,28.0217255660201,29.9308061691575,30.0690161198538,-0.16
"199",2015-06-11,0.11,0.25,1,6.39859493453521,28.0156172674094,29.9308061691575,30.068229729286,-0.14
"200",2015-06-12,0.12,0.25,1,6.39526159811545,28.0156172674094,29.9308061691575,30.068229729286,-0.13
"201",2015-06-15,0.13,0.25,1,6.40191719672719,27.9949840223252,29.9331840651124,30.0676824782311,-0.12
"202",2015-06-16,0.12,0.25,1,6.38856140554563,27.9949840223252,29.9331840651124,30.0676824782311,-0.13
